Planet,Closest Distance in Last 20 Years (km),,,,,Planet,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Earth (to the Sun),Pluto
Mercury,77300000,,,,,Closest Distance in Last 20 Years (km),77300000,38200000,55700000,629000000,1270000000,2720000000,4350000000,147100000,4280000000
Venus,38200000,,,,,,,,,,,,,,
Mars,55700000,,,,,,,,,,,,,,
Jupiter,629000000,,,,,,,,,,,,,,
Saturn,1270000000,,,,,,,,,,,,,,
Uranus,2720000000,,,,,,,,,,,,,,
Neptune,4350000000,,,,,,,,,,,,,,
Earth (to the Sun),147100000,,,,,,,,,,,,,,
Pluto,4280000000,,,,,,,,,,,,,,
